Location|Address|City|Hours|Phone Number|Eligibility|Limitations|Link
Cleveland Clinic (Indian River Hospital Employee Parking Lot)|1000 36th Street|Vero Beach|9-5|772-226-4846|call for pre-screen; must meet testing criteria - https://s33330.pcdn.co/wp-content/uploads/2020/03/Clinical_Guidance_Chart_3-15-20_Final-1.pdf||https://www.indianrivermedicalcenter.com/new-coronavirus-covid-19-updates/
Brownsville Community Center|3200 W. De Soto Street|Pensacola||904-819-5155|||
Northwood Centre parking lot|1940 N Monroe St Tallahassee, FL 32303|Tallahassee|M-F 11-6||||https://www.wctv.tv/content/news/UPDATE--More-than-1000-people-tested-for-COVID-at-Tallahassee-site-569351981.html
UCF||Orlando|M-F 9- 5|855-282-4860|call for appt||https://www.mynews13.com/fl/orlando/news/2020/04/05/florida-second-to-new-york-in-coronavirus-testing
South County Civic Center|16700 Jog Road|Delray Beach|M-F 8-4; Sa 8-12|561-804-0250|call for appt||https://www.wpbf.com/article/will-dependents-receive-stimulus-checks/32056633
Twin Lakes Park|6700 Clark Road|Sarasota|8-12||referral||http://sarasota.floridahealth.gov/newsroom/2020/03/covd19-stand-down.html
Life Hope|5091 Nelson Brogdon Blvd|Sugar Hill|M-F 9-5|877-262-1003|||https://www.lifehope.com/
Life Hope|4350 N Point Pkwy|Alpharetta|M-F 9-5|877-262-1003|||https://www.lifehope.com/
AllCare|3867 Roswell Rd NE|Atlanta||M-F 5p-6p; Sa-Su 1-2|telemedicine pre-screen||https://allcarefamilymed.com/coronavirus
Oconee Health Campus|1305 Jennings Mill Rd.|Watkinsville|9 a.m. to 3 p.m.|866-460-1119||Appt only|
Georgia Department of Public Healthu2019s West Central Health District|2100 Comer Ave.|Columbus|9 a.m. to 4 p.m.|855-962-0955|||https://www.ledger-enquirer.com/news/coronavirus/article241376946.html
|352 Peachtree Place||M-F 9-6 Sa 10-5 Su 10-4||preregister here: www.CVS.com/minuteclinic/covid-19-testing||https://www.gwinnettdailypost.com/local/health/free-covid-19-testing-program-launched-at-georgia-tech/article_6a835f4a-780e-11ea-9bf0-c7b6d9249eb3.html
GCFC Health Services|5378 Lawrenceville hwy|Lilburn||4704805688|||
Kaka'ako Waterfront Park|102 Ohe St.|Honolulu|8 a.m. to 2 p.m.||||
Old Kona Airport Park|75-5560 Kuakini Hwy|Kailua-Kona|8 a.m. to 3 p.m.|||Symptomatic, recent travel abroad|
Urgent Care Hawaii||Pearl City|||||
Urgent Care Hawaii||Kapolei|||||
Urgent Care Hawaii||Kailua|||||
Waipio Peninsula Soccer Complex|93-061 Waipio Point Access Rd|Waipahu|8 a.m. to noon||||
|3900 28th Ave Dr|Moline|M-F 8 u2013 8; S-S 9 u2013 4:30 p.m.|(563) 421-3820|referral from PCP or www.genesishealth.com/virtual ||https://www.genesishealth.com/coronavirus-disease-2019-covid-19/
|1520 West 53rd Street|Davenport|M-F 8 u2013 8; S-S 9 u2013 4:30 p.m.|(563) 421-3820|referral from PCP or www.genesishealth.com/virtual ||https://www.genesishealth.com/coronavirus-disease-2019-covid-19/
Siouxland District Health||Woodbury County|||referral/appt||https://www.iowapublicradio.org/post/drive-thru-testing-covid-19-starts-woodbury-county#stream/0
The Iowa Clinic||West Des Moines|M-Friday 8-4; S-Sunday 8-2|515.875.9268|symptomatic, appt only||
Mercy Iowa City|5950 University Avenue|Coralville|||||https://kwwl.com/2020/03/31/drive-thru-covid-19-testing-in-coralville/
||Sioux City|12-4|641-494-3543, 641-494-3546 or 641-494-3547|need referral - appts will then be scheduled by central collecting entity||https://siouxcityjournal.com/news/local/covid--testing-site-opens-in-sioux-city/article_9cceceb9-5b98-531a-b070-f5d18929fa52.html
North Iowa Event Center|3700 4th St SW, 50401|Mason City|9-5, m-f|641-494-3543, 641-494-3546 or 641-494-3547|||https://kttc.com/2020/03/18/drive-through-testing-site-now-open-in-mason-city/
Meridian Health Plaza|3025 W. Cherry Ln.|Meridian|8 a.m. to 8 p.m.|208-302-2683|||
St. Lukeu2019s Meridian Hospital|520 S. Eagle Rd.|Meridian|10 a.m. to 6 p.m.|208-381-9500|||https://www.idahostatesman.com/news/coronavirus/article241274011.html
St. Lukeu2019s Wood River Hospital|100 Hospital Dr.|Ketchum|10 a.m. to 6 p.m.||||https://www.idahostatesman.com/news/coronavirus/article241274011.html
St. Luke's Boise|190 E Bannock St, Boise, ID 83712|Boise|10 a.m. to 6 p.m.||||https://www.idahostatesman.com/news/coronavirus/article241274011.html
Saltzer Health|9850 W. St. Lukeu2019s Drive|Nampa|8 a.m. to 8 p.m.||||https://www.idahostatesman.com/news/coronavirus/article241274011.html
Saltzer Health|215 E. Hawaii Ave.|Nampa|8 a.m. to 8 p.m.||||
Garrity Campus Clinic|1150 North Sister Catherine Way|Nampa|8am to 8pm||||https://idahonews.com/news/coronavirus/saint-alphonsus-adds-drive-in-covid-19-testing-center-in-nampa
Edward-Elmhurst Health|4201 Winfield Road|Warrenville|M-F 9-3|||in-network patients and staff|https://www.eehealth.org/coronavirus/
Edward-Elmhurst Health|4201 Winfield Road|Warrenville|M-F 9-3|||in-network patients and staff|https://www.eehealth.org/coronavirus/
Illinois National Guard testing facility|6959 Forest Preserve Dr.|Dunning|M-F 9-5||healthcare workers, first responders and people over 65|limit to first 250/day|https://wgntv.com/news/coronavirus/covid-19-drive-thru-testing-sites-expand-as-illinois-cases-surpass-4500/
McLean County Fairgrounds|1106 Interstate Dr|Bloomington|daily 9-7||high risk people have priority|limit to first 250/day|https://week.com/2020/03/28/drive-thru-covid-19-testing-facility-opens-in-mclean-county/
Walmart - Joliet|2424 W Jefferson St|Joliet|10-4 daily|(815) 744-7575|high risk people have priority||https://abc7chicago.com/where-to-find-coronavirus-testing-in-chicago-area/6044390/
Walgreens|695 W Boughton Road|Bolingbrook||(630) 759-3011|high risk people have priority||https://wgntv.com/news/coronavirus/heres-where-you-can-get-a-covid-19-test-in-chicago-area/
University of Chicago Medical Center |5841 S Maryland Ave|Chicago||||appt only|https://www.nbcchicago.com/news/local/drive-thru-coronavirus-testing-available-at-some-area-hospitals-but-with-tight-restrictions/2240669/
Advocate Lutheran General Hospital|1775 Dempster Street|Park Ridge||||appt only|https://www.nbcchicago.com/news/local/drive-thru-coronavirus-testing-available-at-some-area-hospitals-but-with-tight-restrictions/2240669/
Northwestern Memorial Hospital|251 E Huron St|Chicago|||||
Rush Oak Park Hospital|520 S. Maple Ave.|Oak Park||(888) 352-RUSH||screening needed|https://chicago.suntimes.com/coronavirus/2020/3/24/21191831/map-heres-where-to-get-tested-coronavirus-chicago-illinois-covid-19
NorthShore University HealthSystem - Skokie|9600 Gross Point Road|Skokie||847.432.5849|||https://chicago.suntimes.com/coronavirus/2020/3/24/21191831/map-heres-where-to-get-tested-coronavirus-chicago-illinois-covid-19
Rush University Medical Center|1620 W. Harrison St.|Chicago||(888) 352-RUSH||screening needed|https://chicago.suntimes.com/coronavirus/2020/3/24/21191831/map-heres-where-to-get-tested-coronavirus-chicago-illinois-covid-19
One Medical|218 b N. Elizabeth|Chicago||1-888-ONEMED1|Appointment only||https://www.onemedical.com/blog/live-well/covid-19-testing-one-medical
Aria Diagnostics|635 W. 96th St|Indianapolis|||||https://www.wishtv.com/news/medical/north-side-medical-lab-doing-covid-19-testing-complying-with-cdc/
Champions Pavilion at the Indiana State Fairground||Marion County|M 10-6 F 10-6; Sa 10-2 (ends 4/11)||essential workers only; pre-screening and registration||https://fox59.com/news/coronavirus/city-county-agencies-offer-drive-thru-covid-19-testing-for-frontline-marion-county-employees/
Lilly||Indianapolis|||high risk with referral||https://www.fiercebiotech.com/medtech/eli-lilly-offers-drive-thru-covid-19-testing-to-indianapolis-docs-nurses
||New Albany||812-948-4726|||https://www.wdrb.com/news/first-drive-thru-covid--testing-opens-in-new-albany/article_336c4ee6-6aca-11ea-bc01-53d3bbbe20d3.html
Deaconess Midtown Hospital|600 Mary St, 47710|Evansville||812-450-6555|referral - can call the number to be screened||https://44news.wevv.com/deaconess-offers-drive-covid-19-testing/
Franciscan Health||Michigan City|10-6, m-f||referral + appt||https://www.nbcchicago.com/news/local/northwest-indiana-hospital-to-offer-drive-thru-coronavirus-testing/2238420/
Good Shepherd Hospital|450 IL-22, 60010|Barrington|||||
Olathe Northwest High School||Kansas City|||||https://www.kansascity.com/news/local/article241868316.html
Sharon Lee Family Health |300-340 Southwest Blvd.|Kansas City|10-2, m-f; come into the office on weekends if they have symptoms and a doctor's note.|913-396-7070|referral||http://www.swbfhc.org/
Saint Lukeu2019s Health System|4061 Indian Creek Pkwy, 66207|Mission Farms||816-932-5100|appts only; existing patient or employee with referral||https://www.saintlukeskc.org/about/news/saint-lukes-news-three-covid-19-drive-thru-testing-sites-set-qualifying-saint-lukes
GraceMed||Wichita||316-866-2000|call number to get screened, make appt||http://www.kake.com/story/41943677/gracemed-offers-drive-thru-testing-for-coronavirus
UofL|Downtown - corner of East Liberty and South Brook |Louisville|||appts only; existing patients||https://www.wave3.com/2020/03/26/drive-thru-covid-testing-coming-louisville-some-labs-still-backed-up/
Robley Rex VA Medical Center|"800 Zorn Avenue, 40206
"|Louisville|||||https://www.wdrb.com/news/louisville-locations-begin-administering-drive-thru-covid--tests/article_fb20771a-6f60-11ea-b184-4f5a26b93e5f.html
UofK Healthcare Turfland|2195 Harrodsburg Rd, Lexington, KY 40504||||UK employees and general health workers on frontlines||https://www.kentucky.com/news/coronavirus/article241525491.html
Hoskins Medical Center|1120 Reuben St, London, KY 40741|London||(606) 864-7000|||https://www.wymt.com/content/news/London-clinic-starts-drive-up-testing-for-COVID-19-569072721.html
Bluegrass Extended Care|989 Governors Lane|Lexington|9-4||showing symptoms||https://www.wtvq.com/2020/03/24/lexington-clinic-offers-drive-covid-19-testing-wednesday/
University of New Orleans Lakefront Arena Parking Lot|6801 Franklin Avenue|New Orleans|||||https://www.wwltv.com/article/news/health/coronavirus/drive-thru-coronavirus-test-locations-in-southeast-louisiana/289-ea7f65ac-49ac-4516-8f20-ad26184ff08d
New Orleans East Hospital|5620 Read Blvd|New Orleans|m-f, 9-5|504-962-6202|call first to get screened; For symptomatic adults (18 and older) on the hospital campus||https://www.wwltv.com/article/news/health/coronavirus/drive-thru-coronavirus-test-locations-in-southeast-louisiana/289-ea7f65ac-49ac-4516-8f20-ad26184ff08d
Odyssey House|2700 S. Broad Street|New Orleans|m-f, 3p-5p||showing symptoms||https://www.wwltv.com/article/news/health/coronavirus/drive-thru-coronavirus-test-locations-in-southeast-louisiana/289-ea7f65ac-49ac-4516-8f20-ad26184ff08d
Alario Center|2000 Segnette Blvd|Westwego|||||https://www.wwltv.com/article/news/health/coronavirus/drive-thru-coronavirus-test-locations-in-southeast-louisiana/289-ea7f65ac-49ac-4516-8f20-ad26184ff08d
Thibodaux Regional Health System|506 North Acadia Road|Thibodaux|||First responders/medical only||https://www.wwltv.com/article/news/health/coronavirus/drive-thru-coronavirus-test-locations-in-southeast-louisiana/289-ea7f65ac-49ac-4516-8f20-ad26184ff08d
Wla Center For Health Services|2000 Opelousas St.|Lake Victoria|MWTh - 9-4; T 9-6; F 9-1|337-439-9983|call first for screening||
TGMC Medical Arts facility|855 Belanger Street|Houma|||||
Baton Rouge Generalu2019s Mid-City Campus|3600 Florida Blvd|Baton Rouge|1-3, m-f||referral from PCP||https://www.wrkf.org/post/louisianas-first-drive-thru-covid-19-testing-clinic-opens-baton-rouge
Suffolk Downs||Boston|||first responders only||https://www.ebnhc.org/en/newspress/press-releases/east-boston-neighborhood-health-center-partners-with-city-of-boston-and-boston-public-health-commission-on-covid-19-testing-for-first-responders.html
Crown Street parking lot|33 Tower St.|Somerville|M-Sun 9-3|||Current Cambridge Health Alliance patients only|https://www.challiance.org/about/newsroom/cambridge_health_alliance_to_provide_covid19_testi_1178
St. Vincentu2019s Hospital |123 Summer St|Worcester|||||https://www.masslive.com/coronavirus/2020/03/coronavirus-testing-locations-drive-thru-testing-has-begun-in-massachusetts-but-many-require-appointments-prescription-from-doctor.html
UMass Memorial Medical Center|119 Belmont St|Worcester|||||https://www.masslive.com/coronavirus/2020/03/coronavirus-umass-memorial-medical-center-in-worcester-to-pilot-a-drive-up-covid-19-testing-service.html
Brigham and Womenu2019s Hospital - ambulance bay|75 Francis St|Boston|||||
Suffolk Downs Race Track |525 William F McClellan Hwy|Boston|||first responders only||https://patch.com/massachusetts/boston/boston-opens-first-coronavirus-testing-site-suffolk-downs
Sturdy Memorial Urgent|266 Washington St|Attleboro||||Sturdy Memorial patients, appointment only|https://patch.com/massachusetts/attleboro/coronavirus-drive-thru-testing-center-opens-south-attleboro
CVS|720 Boston Turnpike |Shrewsbury|daily 8-8|401-374-6777 ||appointment only|https://fcam.org/CivicAlerts.aspx?AID=1415
One Medical|199 Boylston St|Chestnut Hill||1-888-ONEMED1|appt only||https://www.onemedical.com/blog/live-well/covid-19-testing-one-medical
CVS Health |32 Reiss Ave|Lowell|||pre-register here - https://www.cvs.com/minuteclinic/covid-assessment?WT.tsrc=affiliate&cjevent=60a9e61f7a9d11ea80b400250a1c0e0e&CID=AFF:2617611:8380970:12897382||https://www.wcvb.com/article/former-nurse-whos-now-a-bakery-owner-aims-to-feed-frontline-healthcare-workers/32090455
Harvard Pilgrim Health Care|1600 Colony Drive|Quincy|9-4 daily|617-303-6400|call first to be pre-screened||https://whdh.com/news/drive-thru-coronavirus-testing-site-opening-in-quincy/
AllCare|9396 Baltimore Natl Pike|Ellicott City|M-F 6p-7p, S-S 12p-1p||telemedicine visit first||https://allcarefamilymed.com/coronavirus
vehicle emissions site|721 E Ordnance Rd, Curtis Bay, MD 21226|Glen Burnie|||people with symptoms who are either a health-care worker, a first-responder, over 65 years old, live in group homes or are deemed u201cmedically unstableu201d by their doctor.||https://www.washingtonpost.com/local/getting-tested-for-coronavirus-in-virginia-maryland-dc/2020/03/26/5e19f608-6de9-11ea-a3ec-70d7479d83f0_story.html
vehicle emissions site|28 Henry Ford Cir #2787, Waldorf, MD 20602|Waldorf |||people with symptoms who are either a health-care worker, a first-responder, over 65 years old, live in group homes or are deemed u201cmedically unstableu201d by their doctor.||https://www.washingtonpost.com/local/getting-tested-for-coronavirus-in-virginia-maryland-dc/2020/03/26/5e19f608-6de9-11ea-a3ec-70d7479d83f0_story.html
vehicle emissions site|1631 Robin Cir #3068, Forest Hill, MD 21050|Bel Air|||people with symptoms who are either a health-care worker, a first-responder, over 65 years old, live in group homes or are deemed u201cmedically unstableu201d by their doctor.||https://www.washingtonpost.com/local/getting-tested-for-coronavirus-in-virginia-maryland-dc/2020/03/26/5e19f608-6de9-11ea-a3ec-70d7479d83f0_story.html
FedEx Field|1600 Fedex Way, Landover, MD 20785|Landover||301-883-6627|appts only; ||
Chesapeake ERgent Care|1071 MD-3 #101,|Gambrills|||||
Doctors Community Hospital|8118 Good Luck Rd|Lanham|||||
Anne Arundel Medical Center|2001 Medical Pkwy|Annapolis|||||
Anthem Blue Cross|2 Gannett Drive|Portland|8-8 daily|(207) 358-7400|call first to be pre-screened||https://www.pressherald.com/2020/04/01/new-drive-through-test-site-for-covid-19-to-open-in-south-portland/
Northern Light Blue Hill Hospital|57 Water St, Blue Hill, 04614|Blue Hill||844-489-1822|call ahead to be screened||http://castinepatriot.com/news/2020/mar/20/drive-up-testing-for-covid-19-in-stonington-castin/#.XoIv9NNKjUI
Bass Park|Bass Park Blvd, Bangor, ME 04401|Bangor|9-3 m-f||pre-screen by provider||https://www.newscentermaine.com/article/news/health/coronavirus/drive-up-covid-19-testing-site-to-open-in-bangor/97-1f941345-61bd-4ee6-9c61-4419b64ff180
Mercy Hospital's Fore River campus|175 Fore River Pkwy floor 1, Portland, ME 04102|Portland||844-489-1822|call ahead to be screened||
Inland Hospital|200 Kennedy Memorial Dr, Waterville, ME 04901|Waterville|||pre-screen by provider + calling ahead||
Maine General Medical Center||Ellsworth|||symptoms + calling ahead||
Maine General Medical Center|35 Medical Center Pkwy, Augusta, ME 04330|Augusta|||symptoms + calling ahead||
Spectrum Health||Grand Rapids||616-391-2380|||https://www.michiganradio.org/post/drive-thru-coronavirus-test-sites-pop-michigan-they-cant-test-everyone
Spectrum Health|8501 Meadow Creek Dr, Rockford, MI 49341|Rockford||616-391-2380|||https://www.michiganradio.org/post/drive-thru-coronavirus-test-sites-pop-michigan-they-cant-test-everyone
Henry Ford Allegiance Hospital|205 N East Ave|Jackson||800-592-4784|symptoms or having been exposed to covid/recently traveled||https://www.crainsdetroit.com/coronavirus/southeast-michigan-hospitals-begin-drive-through-coronavirus-testing
Beaumont Health|3601 W 13 Mile Rd, Royal Oak, MI 48073|Royal Oak||800-592-4784|pre-screening||https://www.crainsdetroit.com/coronavirus/southeast-michigan-hospitals-begin-drive-through-coronavirus-testing
Beaumont Health|750 Stephenson Hwy, Troy, MI 48083|Troy||800-592-4784|pre-screening||https://www.crainsdetroit.com/coronavirus/southeast-michigan-hospitals-begin-drive-through-coronavirus-testing
Beaumont Health|18101 Oakwood Blvd, Dearborn, MI 48124|Dearborne||800-592-4784|pre-screening||https://www.crainsdetroit.com/coronavirus/southeast-michigan-hospitals-begin-drive-through-coronavirus-testing
West Ann Arbor Health Center|380 Parkland Plaza, Ann Arbor, MI 48103|Ann Arbor||734-763-6336|existing patients/employees - referral - call ahead for phone screen|existing pat|https://www.mlive.com/news/ann-arbor/2020/03/michigan-medicine-begins-offering-curbside-covid-19-screenings.html
Canton Health Center|1051 N Canton Center Rd, Canton, MI 48187|Ann Arbor||734-763-6336|existing patients/employees - referral - call ahead for phone screen||https://www.uofmhealth.org/coronavirus/appt-locations-update-covid-19
Brighton Health Center|8001 Challis Rd, Brighton, MI 48116|Ann Arbor||734-763-6336|existing patients/employees - referral - call ahead for phone screen||https://www.mlive.com/news/ann-arbor/2020/03/michigan-medicine-begins-offering-curbside-covid-19-screenings.html
Eastern Michigan University|900 Oakwood St, Ypsilanti, MI 48197|Ann Arbor|||||https://www.mlive.com/news/ann-arbor/2020/04/eastern-michigan-university-graduate-nursing-students-put-in-work-at-coronavirus-drive-through-test-sites.html
State Fairgrounds|Off Woodward Ave. on W. State Fair Road|Detroit|7 a.m.-6 p.m.|313-230-0505|||
Beaumont Hospitals|8 locations|Detroit||800-592-4784|||
Mayo Family Clinic NW|4111 US-52 North|Rochester||507-538-8555|phone screen before arrival||https://www.duluthnewstribune.com/business/healthcare/5010228-Mayo-Clinic-Labs-ramp-up-for-round-the-clock-COVID-19-testing
Nicole Bryant||Kansas City||8163301172|||
Hillsboro Community Civil Club Jefferson County Fairgrounds|10349 Business 21|Hillsboro||314-251-0500|||https://www.ksdk.com/article/news/health/coronavirus/mercy-covid-19-drive-thru-testing-site-jefferson-county/63-a17901de-a245-4f59-9c56-45f666eafc85
Mercy Virtual Care Center|15740 S. Outer Forty Road|Chesterfield||314-251-0500|||https://www.ksdk.com/article/news/health/coronavirus/mercy-covid-19-drive-thru-testing-site-jefferson-county/63-a17901de-a245-4f59-9c56-45f666eafc85
Washington Fairgrounds|6 Fairgrounds Road|Washington||314-251-0500|||https://www.ksdk.com/article/news/health/coronavirus/mercy-covid-19-drive-thru-testing-site-jefferson-county/63-a17901de-a245-4f59-9c56-45f666eafc85
St. Luke's Hospital |parking lot between the Mr. and Mrs. Theodore P. Desloge, Jr. Outpatient Center, Building B and St. Luke's Resource Center|Chesterfield|M-F 8-5|314-966-9107 ||appt only|https://www.stlukes-stl.com/coronavirus/index.html
Former Siteman Cancer Center |4000 N. Illinois Lane|Swansea|daily noon-6|||screening required|https://www.ksdk.com/article/news/health/coronavirus/coronavirus-testing-stl/63-c2482de3-e3ba-431d-a9f2-04ec20b81e13
Carr Square neighborhood|1717 Biddle|St. Louis||314-833-2777 ||appt only|https://www.kmov.com/news/coronavirus-testing-sites-in-st-louis-metro-east/article_9cfe09b2-6e9e-11ea-aa94-ff81cfe55d65.html
SSM Health Good Samaritan Hospital - Mt. Vernon|1 Good Samaritan Way|Mt. Vernon||||appt only|https://www.kmov.com/news/coronavirus-testing-sites-in-st-louis-metro-east/article_9cfe09b2-6e9e-11ea-aa94-ff81cfe55d65.html
SSM Health St. Mary's Hospital - Centralia|400 N Pleasant Ave|Centralia||||appt only|https://www.kmov.com/news/coronavirus-testing-sites-in-st-louis-metro-east/article_9cfe09b2-6e9e-11ea-aa94-ff81cfe55d65.html
University of Missouri softball stadium parking lot|600 E Stadium Blvd|Columbia|daily 7-7|||video assessment required|https://www.muhealth.org/our-stories/how-do-i-get-tested-covid-19
Citizens Memorial Hospital|1125 N. Butterfield Road|Bolivar|M-Sat 10-4|||screening required|https://www.citizensmemorial.com/about/media-resources/news/2020/cmh-to-offer-drive-thru-covid-19-testing-with-doctors-order.html
Parkway Center|5816 Osage Beach Parkway|Osage Beach|573-348-7419|||screening and appointment required|https://www.lakeexpo.com/news/coronavirus/lake-regional-announces-drive-thru-covid--testing-site/article_4fe9976e-7069-11ea-800d-e79d409d1dd7.html
Saint Lukeu2019s Health System|8880 NE 82nd Terrace, 64158|Shoal Creek||816-932-5100|appts only; existing patient or employee with referral||https://www.saintlukeskc.org/about/news/saint-lukes-news-three-covid-19-drive-thru-testing-sites-set-qualifying-saint-lukes
Saint Lukeu2019s Health System||Blue Springs||816-932-5100|appts only; existing patient or employee with referral||https://www.saintlukeskc.org/about/news/saint-lukes-news-three-covid-19-drive-thru-testing-sites-set-qualifying-saint-lukes
Former Sears Auto Center |1051 Bonita Lakes Cir|Meridian||601-474-3775|||https://www.wtok.com/content/news/Meridians-first-COVID-19-testing-site-coming-soon--569230231.html
Methodist Hospital-Olive Branch|4250 Bethel Road|Olive Branch||662 932-9000||call ahead|https://www.facebook.com/desotocountyemergencyservices/posts/2978277355563697
Baptist Memorial Hospital u2013 DeSoto|7601 Southcrest Parkway|Southaven||662 772-4000||call ahead|https://www.facebook.com/desotocountyemergencyservices/posts/2978277355563697
Cloverleaf Medical Plaza|5909 US Highway 49|Hattiesburg||||appt only|https://www.hattiesburgclinic.com/curbsidecovid/
Mississippi State Fairground |1207 Mississippi St|Jackson|daily 9-5|601-496-7200||screening required, 128 a day|https://www.jacksonfreepress.com/news/2020/mar/20/more-covid-19-testing-sites-public-and-private-ava/
The University of Mississipi Medical Center testing sites|Varies u2013 1-day only sites||1 day only|601-496-7200|||https://umc.edu/CoronaVirus/COVID-19-Testing/Home.html
Med Plus Urgent Care|407 Interchange Dr|Fulton|M-F 7-7, Sat 8-7, Sun 12-7|662-269-8000|||https://www.djournal.com/news/drive-thru-covid--testing-available-in-tupelo-fulton/article_9e90d89f-df00-53a4-85e5-4c65deac3a24.html
Med Plus Urgent Care|874 Barnes Crossing Rd|Tupelo|M-F 7-7, Sat 8-7, Sun 12-7|662-841-0002|||https://www.djournal.com/news/drive-thru-covid--testing-available-in-tupelo-fulton/article_9e90d89f-df00-53a4-85e5-4c65deac3a24.html
Singing River Health System Ocean Springs Clinic|3109 Bienville Boulevard|Ocean Springs||228-809-5044|||https://singingriverhealthsystem.com/coronavirus/
Singing River Health System Pascagoula Clinic|2819 Denny Ave|Pascagoula||228-809-5044|||https://singingriverhealthsystem.com/coronavirus/
Singing River Health System Hurley Clinic|7001 MS-614|Hurley||228-809-5044|||https://singingriverhealthsystem.com/coronavirus/
Singing River Health System Vancleave Clinic|11700 MS-57|Vancleave||228-809-5044|||https://singingriverhealthsystem.com/coronavirus/
Singing River Health System Woolmarket Clinic|13034 Shrineru2019s Boulevard Suite B|Biloxi||228-809-5044|||https://singingriverhealthsystem.com/coronavirus/
Memorial Primary Care Cedar Lake|1756 Popps Ferry Rd.|Biloxi|M-F 8-5, S-S 9-3|228-867-5000|||http://www.gulfportmemorial.com/
Memorial Stone County Medical Center|1440 E. Central Ave.|Wiggins|M-F 8-5, S-S 9-4|228-867-5001|||http://www.gulfportmemorial.com/
Memorial Magnolia Grove Walk-In Clinic|4333 15th Street|Gulfport|M-F 8-5, S-S 9-5|228-867-5002|||http://www.gulfportmemorial.com/
Memorial Long Beach Walk-In|5120 Beatline Rd., Ste. B|Long Beach|M-F 8-5, S-S 9-6|228-867-5003|||http://www.gulfportmemorial.com/
Memorial Surgery Center of Ocean Springs|3882 Bienville Blvd|Ocean Springs|M-F 8-5, S-S 9-7|228-867-5004|||http://www.gulfportmemorial.com/
Memorial Drinkwater Internal Medicine Walk-In Clinic|300 Drinkwater Drive|Bay St. Louis|M-F 8-5, S-S 9-8|228-867-5005|||http://www.gulfportmemorial.com/
Memorial Hancock Family Practice|4433 Leisure Time Drive|Diamondhead|M-F 8-5, S-S 9-9|228-867-5006|||http://www.gulfportmemorial.com/
Center for Asbestos Related Disease|214 E 3rd St|Libby|daily 12-3|406-293-6295||referral or screening required|https://thewesternnews.com/news/2020/mar/27/first-covid-19-case-confirmed-in-lincoln-12/
Bozeman Health Belgrade Clinic parking lot|206 Alaska Frontage Rd|Belgrade|M-F 9-4 Sat 9-1||||https://www.kulr8.com/regional/bozeman-health-to-offer-covid--drive-up-test-sites/article_873cba0a-dc1e-55be-9571-a88d28775101.html
Bozeman Health Deaconess Hospital parking lot G|915 Highland Blvd|Bozeman|M-F 9-4||||https://www.kulr8.com/regional/bozeman-health-to-offer-covid--drive-up-test-sites/article_873cba0a-dc1e-55be-9571-a88d28775101.html
Bozeman Health Outpatient Services parking lot|120 N 19th Ave D|Bozeman|M-F 9-4||||https://www.kulr8.com/regional/bozeman-health-to-offer-covid--drive-up-test-sites/article_873cba0a-dc1e-55be-9571-a88d28775101.html
Big Sky Medical Center, Emergency Department Ambulance Bay|334 Town Center Ave|Big Sky|M-F 9-4 Sat 9-1||||https://www.kulr8.com/regional/bozeman-health-to-offer-covid--drive-up-test-sites/article_873cba0a-dc1e-55be-9571-a88d28775101.html
St. Peteru2019s Health Medical Group Building|2550 Broadway|Helena|daily 10-5|406-457-4180||referral from physician or health dept required|https://www.sphealth.org/what-if-you-think-you-have-covid-19
Cumberland County Department of Public Health|1235 Ramsey St|Fayetteville|9-12:30AM|910-433-3638||appt only|https://www.fayobserver.com/news/20200324/residents-show-up-for-drive-thru-covid-19-testing-in-fayetteville
Tryon Medical|630 Matthews Township Parkway|Matthews|M-F 8-5|||screening / virtual visit required|https://www.tryonmed.com/resource/what-charlotte-should-know-about-coronavirus-and-the-flu/
Tryon Medical|900 East Morehead Street |Charlotte|M-F 8-5|||screening / virtual visit required|https://www.tryonmed.com/resource/what-charlotte-should-know-about-coronavirus-and-the-flu/
zMAX Dragway at Charlotte Motor Speedway|6570 Bruton Smith Blvd|Concord||704-468-8888||screening required, appt only|https://atriumhealth.org/about-us/coronavirus
Blue Ridge Community College|80 W Campus Dr|Flat Rock|daily 9-7|828-694-8048||screening required|https://www.pardeehospital.org/about-us/news-media/2020-news-releases/pardee-unc-health-and-henderson-county-department-of-public-heal/
Fort Bragg fairgrounds|Honeycutt Road and Bragg Boulevard|Fort Bragg|daily 9-2:30||||https://www.fayobserver.com/news/20200327/fort-bragg-to-open-drive-thru-coronavirus-testing-site-saturday
Trinity Medical Arts Clinic|400 E Burdick Expy|Minot||701-857-5000||appt required|https://www.kfyrtv.com/content/news/Health-officials-discuss-COVID-19-testing-protocols-in-Minot--568873751.html
Lakeview Health Clinic|2050 36th Ave SW, Suite 201 |Minot||701-852-8502||screening required|https://www.facebook.com/lakeviewhealthclinic/posts/547715865864828
Bryan Health - Lifepoint Clinic||Lincoln|every day - four hours||doctoru2019s referral||https://www.kwit.org/post/iowa-covid-19-cases-now-179-woodbury-county-begin-drive-thru-testing
Crossroads Urgent Care clinic|72nd and Dodge|Omaha||402-715-5272|symptomatic; appt only - call ahead||https://www.ketv.com/article/appointment-only-drive-up-testing-for-covid-19-available-at-omaha-clinic/31927198
